gamePk,date,team,player_id,full_name,position,shots,goals,saves
2025020792,2026-01-21,Vancouver Canucks,8479425,Filip Hronek,D,2,0,0
2025020792,2026-01-21,Vancouver Canucks,8480058,P.O Joseph,D,0,0,0
2025020792,2026-01-21,Vancouver Canucks,8474574,Tyler Myers,D,4,1,0
2025020792,2026-01-21,Vancouver Canucks,8483678,Elias Pettersson,D,4,0,0
2025020792,2026-01-21,Vancouver Canucks,8477969,Marcus Pettersson,D,1,1,0
2025020792,2026-01-21,Vancouver Canucks,8484240,Tom Willander,D,0,0,0
2025020792,2026-01-21,Vancouver Canucks,8477967,Thatcher Demko,G,0,0,0
2025020792,2026-01-21,Vancouver Canucks,8480947,Kevin Lankinen,G,0,0,23
2025020792,2026-01-21,Vancouver Canucks,8484268,Nikita Tolopilo,G,0,0,0
2025020792,2026-01-21,Washington Capitals,8478463,Anthony Beauvillier,F,3,0,0
2025020792,2026-01-21,Washington Capitals,8475343,Nic Dowd,F,1,0,0
2025020792,2026-01-21,Washington Capitals,8479400,Pierre-Luc Dubois,F,1,0,0
2025020792,2026-01-21,Washington Capitals,8479520,Brandon Duhaime,F,0,0,0
2025020792,2026-01-21,Washington Capitals,8483573,Ethen Frank,F,1,0,0
2025020792,2026-01-21,Washington Capitals,8482148,Hendrix Lapierre,F,1,0,0
2025020792,2026-01-21,Washington Capitals,8484186,Ryan Leonard,F,0,1,0
2025020792,2026-01-21,Washington Capitals,8481580,Connor McMichael,F,2,0,0
2025020792,2026-01-21,Washington Capitals,8477947,Sonny Milano,F,1,0,0
2025020792,2026-01-21,Washington Capitals,8471214,Alex Ovechkin,F,2,0,0
2025020792,2026-01-21,Washington Capitals,8481656,Aliaksei Protas,F,3,0,0
2025020792,2026-01-21,Washington Capitals,8482088,Justin Sourdif,F,2,1,0
2025020792,2026-01-21,Washington Capitals,8478440,Dylan Strome,F,0,0,0
2025020792,2026-01-21,Washington Capitals,8476880,Tom Wilson,F,0,0,0
2025020792,2026-01-21,Washington Capitals,8474590,John Carlson,D,2,0,0
2025020792,2026-01-21,Washington Capitals,8480990,Declan Chisholm,D,0,0,0
2025020792,2026-01-21,Washington Capitals,8479345,Jakob Chychrun,D,1,1,0
2025020792,2026-01-21,Washington Capitals,8480796,Martin Fehérváry,D,0,0,0
2025020792,2026-01-21,Washington Capitals,8475795,Dylan McIlrath,D,0,0,0
2025020792,2026-01-21,Washington Capitals,8478911,Matt Roy,D,5,1,0
2025020792,2026-01-21,Washington Capitals,8480873,Rasmus Sandin,D,2,0,0
2025020792,2026-01-21,Washington Capitals,8477845,Trevor van Riemsdyk,D,0,0,0
2025020792,2026-01-21,Washington Capitals,8479292,Charlie Lindgren,G,0,0,0
2025020792,2026-01-21,Washington Capitals,8480313,Logan Thompson,G,0,0,25
