date,player,team,market,line,proj,p_over,over_price,under_price,book,side,ev,proj_lambda,ev_over
2026-02-01,Marat Khusnutdinov,BOS,ASSISTS,0.5,0.003,0.0073,290,-420,draftkings,Under,0.22910139127862597,0.003,0.22910139127862597
2026-02-01,Jackson Blake,CAR,POINTS,0.5,0.911,0.5455,125,-165,betmgm,Over,0.22739369626392203,0.911,0.22739369626392203
2026-02-01,Nikita Kucherov,TBL,POINTS,1.5,2.291,0.6395,-109,-122,pinnacle,Over,0.22624721087736366,2.291,0.22624721087736366
2026-02-01,Corey Perry,LAK,POINTS,0.5,0.991,0.5695,115,-155,betmgm,Over,0.2244410687915509,0.991,0.2244410687915509
2026-02-01,Mikael Granlund,ANA,SOG,1.5,2.545,0.7218,-144,110,fanduel,Over,0.22306565107967546,2.545,0.22306565107967546
2026-02-01,Jordan Staal,CAR,POINTS,0.5,0.713,0.4794,155,-204,draftkings,Over,0.22259502499425765,0.713,0.22259502499425765
2026-02-01,Brandt Clarke,LAK,ASSISTS,0.5,0.635,0.4441,175,-235,betmgm,Over,0.22140113561639396,0.635,0.22140113561639396
2026-02-01,Nikita Kucherov,TBL,POINTS,1.5,2.291,0.6395,-110,-120,betmgm,Over,0.22091338220891055,2.291,0.22091338220891055
2026-02-01,Nikita Kucherov,TBL,POINTS,1.5,2.291,0.6395,-110,-120,draftkings,Over,0.22091338220891055,2.291,0.22091338220891055
2026-02-01,Mikael Granlund,ANA,SOG,1.5,2.545,0.7218,-145,105,betmgm,Over,0.2196087102908692,2.545,0.2196087102908692
2026-02-01,Tomas Hertl,VGK,ASSISTS,0.5,0.67,0.459,165,-218,draftkings,Over,0.21637442906529925,0.67,0.21637442906529925
2026-02-01,Mikael Granlund,ANA,SOG,1.5,2.545,0.7218,-146,110,pinnacle,Over,0.21619912485533427,2.545,0.21619912485533427
2026-02-01,Beckett Sennecke,ANA,SOG,2.5,2.983,0.5343,126,-162,draftkings,Over,0.2075217470493983,2.983,0.2075217470493983
2026-02-01,Logan Stankoven,CAR,POINTS,0.5,0.707,0.4772,152,-206,pinnacle,Over,0.20256631770846523,0.707,0.20256631770846523
