team,player_id,player,market,value,count,n_sims,game_home,game_away,date,period
Boston Bruins,8482511,,SAVES,0.0,6000,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8482149,,SOG,0.0,408,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8482149,,GOALS,0.0,4767,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8482149,,ASSISTS,0.0,4719,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8482149,,POINTS,0.0,3738,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8482149,,BLOCKS,0.0,3200,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8482149,,SAVES,0.0,6000,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8476392,,SOG,1.0,1575,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8476392,,GOALS,0.0,5244,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8476392,,ASSISTS,0.0,4615,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8476392,,POINTS,0.0,4050,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8476392,,BLOCKS,1.0,2015,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8476392,,SAVES,0.0,6000,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8480113,,SOG,0.0,990,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8480113,,GOALS,0.0,5206,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8480113,,ASSISTS,0.0,4734,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8480113,,POINTS,0.0,4104,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8480113,,BLOCKS,0.0,3458,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8480113,,SAVES,0.0,6000,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8483510,,SOG,2.0,1607,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8483510,,GOALS,0.0,5299,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8483510,,ASSISTS,0.0,4541,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8483510,,POINTS,0.0,4010,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8483510,,BLOCKS,1.0,1944,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8483510,,SAVES,0.0,6000,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8480145,,SOG,4.0,389,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8480145,,GOALS,0.0,5390,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8480145,,ASSISTS,0.0,4963,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8480145,,POINTS,0.0,4452,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8480145,,BLOCKS,1.0,2176,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
